date,E-Today(KWH)
13-06-2025,52
13-06-2025,52
13-06-2025,52
13-06-2025,52
13-06-2025,52
13-06-2025,52
13-06-2025,52
13-06-2025,52
13-06-2025,52
13-06-2025,52
13-06-2025,52
13-06-2025,52
13-06-2025,52
13-06-2025,52
13-06-2025,52
14-06-2025,50
14-06-2025,50
14-06-2025,50
14-06-2025,50
14-06-2025,50
14-06-2025,50
14-06-2025,50
14-06-2025,50
14-06-2025,50
14-06-2025,50
14-06-2025,50
14-06-2025,50
14-06-2025,50
14-06-2025,50
14-06-2025,50
14-06-2025,50
14-06-2025,50
14-06-2025,50
14-06-2025,50
14-06-2025,50
14-06-2025,50
14-06-2025,50
14-06-2025,50
14-06-2025,50
14-06-2025,50
14-06-2025,50
15-06-2025,53
15-06-2025,53
15-06-2025,53
15-06-2025,53
15-06-2025,53
15-06-2025,53
15-06-2025,53
15-06-2025,53
15-06-2025,53
15-06-2025,53
16-06-2025,47
17-06-2025,49
17-06-2025,49
17-06-2025,49
17-06-2025,49
17-06-2025,49
17-06-2025,49
17-06-2025,49
17-06-2025,49
18-06-2025,53
19-06-2025,53
20-06-2025,34
20-06-2025,34
20-06-2025,34
20-06-2025,34
20-06-2025,34
20-06-2025,34
21-06-2025,33
22-06-2025,37
23-06-2025,48
24-06-2025,49
25-06-2025,31
25-06-2025,31
25-06-2025,31
25-06-2025,31
25-06-2025,31
25-06-2025,31
25-06-2025,31
25-06-2025,31
25-06-2025,31
25-06-2025,31
25-06-2025,31
25-06-2025,31
25-06-2025,31
25-06-2025,31
25-06-2025,31
25-06-2025,31
25-06-2025,31
25-06-2025,31
25-06-2025,31
25-06-2025,31
25-06-2025,31
25-06-2025,31
25-06-2025,31
25-06-2025,31
26-06-2025,9
27-06-2025,26
28-06-2025,44
29-06-2025,42
29-06-2025,42
29-06-2025,42
29-06-2025,42
29-06-2025,42
29-06-2025,42
29-06-2025,42
29-06-2025,42
30-06-2025,40
01-07-2025,50
02-07-2025,19
03-07-2025,52
03-07-2025,52
04-07-2025,42
05-07-2025,44
05-07-2025,44
05-07-2025,44
05-07-2025,44
05-07-2025,44
05-07-2025,44
05-07-2025,44
05-07-2025,44
05-07-2025,44
05-07-2025,44
05-07-2025,44
05-07-2025,44
05-07-2025,44
05-07-2025,44
05-07-2025,44
05-07-2025,44
05-07-2025,44
05-07-2025,44
06-07-2025,17
07-07-2025,28
08-07-2025,44
09-07-2025,31
10-07-2025,18
10-07-2025,18
11-07-2025,42
12-07-2025,57
13-07-2025,36
13-07-2025,36
13-07-2025,36
13-07-2025,36
13-07-2025,36
13-07-2025,36
14-07-2025,43
14-07-2025,43
14-07-2025,43
14-07-2025,43
14-07-2025,43
14-07-2025,43
14-07-2025,43
14-07-2025,43
15-07-2025,26
16-07-2025,48
16-07-2025,48
16-07-2025,48
16-07-2025,48
16-07-2025,48
16-07-2025,48
17-07-2025,20
17-07-2025,20
17-07-2025,20
17-07-2025,20
17-07-2025,20
17-07-2025,20
17-07-2025,20
17-07-2025,20
17-07-2025,20
17-07-2025,20
17-07-2025,20
